firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
Jay,Inslee,Jay Inslee,D,D,U. S. Representative District #1,NA,,county,King,43854
Jay,Inslee,Jay Inslee,D,D,U. S. Representative District #1,NA,,county,Kitsap,22742
Jay,Inslee,Jay Inslee,D,D,U. S. Representative District #1,NA,,county,Snohomish,47491
Jay,Inslee,Jay Inslee,D,D,U. S. Representative District #1,NA,,state,Washington,114087
Joseph,Marine,Joe Marine,R,R,U. S. Representative District #1,NA,,county,King,30255
Joseph,Marine,Joe Marine,R,R,U. S. Representative District #1,NA,,county,Kitsap,15509
Joseph,Marine,Joe Marine,R,R,U. S. Representative District #1,NA,,county,Snohomish,38932
Joseph,Marine,Joe Marine,R,R,U. S. Representative District #1,NA,,state,Washington,84696
Mark B.,Wilson,Mark B. Wilson,L,L,U. S. Representative District #1,NA,,county,King,2157
Mark B.,Wilson,Mark B. Wilson,L,L,U. S. Representative District #1,NA,,county,Kitsap,1268
Mark B.,Wilson,Mark B. Wilson,L,L,U. S. Representative District #1,NA,,county,Snohomish,2826
Mark B.,Wilson,Mark B. Wilson,L,L,U. S. Representative District #1,NA,,state,Washington,6251
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,Island,424
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,King,4
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,San Juan,128
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,Skagit,562
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,Snohomish,1956
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,county,Whatcom,1252
Bruce,Guthrie,Bruce Guthrie,L,L,U. S. Representative District #2,NA,,state,Washington,4326
Bernard,Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,Island,313
Bernard,Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,King,6
Bernard,Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,San Juan,318
Bernard,Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,Skagit,467
Bernard,Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,Snohomish,1268
Bernard,Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,county,Whatcom,1705
Bernard,Haggerty,Bernard Patrick (Bern) Haggerty,GRN,GRN,U. S. Representative District #2,NA,,state,Washington,4077
Rick,Larsen,Rick Larsen,D,D,U. S. Representative District #2,NA,,county,Island,11731
Rick,Larsen,Rick Larsen,D,D,U. S. Representative District #2,NA,,county,King,114
Rick,Larsen,Rick Larsen,D,D,U. S. Representative District #2,NA,,county,San Juan,4031
Rick,Larsen,Rick Larsen,D,D,U. S. Representative District #2,NA,,county,Skagit,16233
Rick,Larsen,Rick Larsen,D,D,U. S. Representative District #2,NA,,county,Snohomish,42322
Rick,Larsen,Rick Larsen,D,D,U. S. Representative District #2,NA,,county,Whatcom,26788
