OfficeID	OfficeName	OfficePosition	OfficeKey	OfficeTypeID	DisplayOrder	MeasureText
1	Superior Ct Judge Adams	Position #1	7011	7		
1002	Senate Joint Resolution	4	999444	5		Shall the constitutional restriction upon the ownership of land in the State of Washington by aliens be removed by repealing Section 33, Article II as amended by Amendments 24 and 29 of the State Constitution?
3	Superior Ct Judge Adams, Benton, Franklin	Position #1	6031	7		
4	Superior Ct Judge Adams, Benton, Franklin	Position #2	6032	7		
5	Superior Ct Judge Asotin, Columbia, Garfield	Position #1	6021	7		
7	Attorney General	NA	3006	2	6	
11	Superior Ct Judge Benton, Franklin	Position #3	6033	7		
12	Superior Ct Judge Benton, Franklin	Position #4	6034	7		
13	Superior Ct Judge Benton, Franklin	Position #5	6035	7		
15	Superior Ct Judge Chelan	Position #1	7041	7		
16	Superior Ct Judge Chelan	Position #2	7042	7		
17	Superior Ct Judge Chelan	Position #3	7043	7		
25	Superior Ct Judge Clallam	Position #1	7051	7		
26	Superior Ct Judge Clallam	Position #2	7052	7		
33	Superior Ct Judge Clark	Position #2	7062	7		
34	Superior Ct Judge Clark,Cowlitz,Klickitat,Skamania	Position #1	6201	7		
35	Commissioner of Public Lands	NA	3007	2	7	
37	Constitutional Amendment	Add Article XXVIII	999628	5	1	An Act relating to forestation and reforestation and the assessment and taxation of lands devoted to that purpose and the assessment and taxation of the products of such lands, and providing for an amendment to the Constitution of the State of Washington.
38	Constitutional Amendment	Article II, Sec. 33	9996	5	1	An amendment of Section 33, Article 2 of the State Constitution, enabling alien residents of this state to acquire by purchase and hold lands lying within municipal corporations, and providing for the escheat of such lands to the common school fund in case the owner thereof becomes a non-resident of the state for the term of five year.
39	Constitutional Amendment	Article I, Sec. 16	99961	5	2	Proposed amendment to section 16 of Article 1 of the Constituion, relating to the exercise of the power of eminent domain.
41	Constitutional Amendment	Article III	99963	5	1	An Act for the amendment of sections 14, 16, 17, 19, 20, 21 and 22, article 3, of the state constitution by fixing the annual salaries of certain state officers as follows: Governor, ten thousand dollars; lieutenant governor, two thousand five hundred dollars; secretary of state, five thousand dollars; treasurer, five thousand dollars; auditor, five thousand dollars; attorney general, six thousand dollars; superintendent of public instruction, five thousand dollars.
43	Constitutional Amendment	Article II, Sec. 23	99962	5	9	An Act amending section 23 of article II of the State Constitution relating to compensation to be paid members of the legislature by increasing the compensation of such members from $5.00 to $10.00 a day for each day's attendance during the session.
44	Constitutional Amendment	Article II, Sec. 1	999621	5	3	Proposed amendment of section 1 of article II of the Constitution of the State of Washington, relating to legislative powers and providing for the initiative and referendum.
45	Constitutional Amendment	Article II, Sec. 31	9996231	5	4	Proposed amendement of article II of the Constitution of the State of Washington, by striking section 31 therefrom, which relates to the time when laws take effect.
48	Constitutional Amendment	Article VI	99966	5	1	Proposed amendment to Article VI of the Constitution relating to the qualifications of voters within this state…
50	Constitutional Amendment	Article VII	99967	5	1	Proposed amendment to Article VII of the Constitution relating to the assessment and taxation of property within the state.
51	Constitutional Amendment	Article VIII, Sec. 4	99968	5	8	An Act amending section 4 of article VIII of the State Constitution by providing that payments from state appropriations should be made within one calendar month after the end of the next ensuing fiscal biennium.
53	Constitutional Amendment	Article XI, Sec. 7	999611	5	1	Proposed amendment to section seven (7) of article eleven (XI) of the Constitution, removing the prohibition against county officers, except county treasurer, holding office for more than two terms.
56	Senate Joint Resolution	11	59999	5	6	An Amendment of section 4, Article IV of the constitution, relating to the jurisdiction of the supreme court, by providing that the legislature may from time to time increase the original amount in controversy or the value of the property which shall be requisite to confer appellate jurisdiction in civil actions for the recovery of money or personal property except in certain cases.
