county,precinct,office,district,party,candidate,votes,absentee,poll
Chelan,1,,,,Registration,52,42,10
Chelan,2,,,,Registration,74,63,11
Chelan,3,,,,Registration,132,107,25
Chelan,4,,,,Registration,642,489,153
Chelan,5,,,,Registration,421,318,103
Chelan,6,,,,Registration,595,414,181
Chelan,7,,,,Registration,7,6,1
Chelan,8,,,,Registration,328,247,81
Chelan,9,,,,Registration,97,73,24
Chelan,10,,,,Registration,716,520,196
Chelan,11,,,,Registration,23,16,7
Chelan,12,,,,Registration,89,76,13
Chelan,13,,,,Registration,13,13,0
Chelan,14,,,,Registration,476,342,134
Chelan,15,,,,Registration,500,354,146
Chelan,16,,,,Registration,362,272,90
Chelan,17,,,,Registration,60,49,11
Chelan,18,,,,Registration,104,65,39
Chelan,19,,,,Registration,699,573,126
Chelan,20,,,,Registration,80,59,21
Chelan,21,,,,Registration,89,79,10
Chelan,22,,,,Registration,294,190,104
Chelan,23,,,,Registration,124,80,44
Chelan,24,,,,Registration,231,178,53
Chelan,25,,,,Registration,47,42,5
Chelan,27,,,,Registration,67,43,24
Chelan,28,,,,Registration,496,353,143
Chelan,29 ENT,,,,Registration,480,300,180
Chelan,30,,,,Registration,157,133,24
Chelan,31,,,,Registration,43,34,9
Chelan,32,,,,Registration,345,229,116
Chelan,33,,,,Registration,129,112,17
Chelan,34,,,,Registration,62,50,12
Chelan,35,,,,Registration,27,24,3
Chelan,36,,,,Registration,526,375,151
Chelan,37,,,,Registration,11,11,0
Chelan,38,,,,Registration,53,50,3
Chelan,39,,,,Registration,569,405,164
Chelan,40,,,,Registration,79,72,7
Chelan,41,,,,Registration,520,456,64
Chelan,42,,,,Registration,425,294,131
Chelan,43 CHE,,,,Registration,532,422,110
Chelan,44 CHE,,,,Registration,625,519,106
Chelan,45 CHE,,,,Registration,882,622,260
Chelan,46,,,,Registration,489,365,124
Chelan,47,,,,Registration,766,663,103
Chelan,48 CAS,,,,Registration,451,287,164
Chelan,49 CAS,,,,Registration,520,380,140
Chelan,50 CAS,,,,Registration,604,412,192
Chelan,51 WEN,,,,Registration,719,551,168
Chelan,52 WEN,,,,Registration,862,657,205
Chelan,53 WEN,,,,Registration,864,655,209
Chelan,54 WEN,,,,Registration,882,655,227
Chelan,55 WEN,,,,Registration,694,496,198
Chelan,56 WEN,,,,Registration,771,494,277
Chelan,57 WEN,,,,Registration,935,609,326
Chelan,58 WEN,,,,Registration,919,534,385
Chelan,59 WEN,,,,Registration,831,635,196
Chelan,60 WEN,,,,Registration,1125,735,390
Chelan,61 WEN,,,,Registration,955,743,212
Chelan,62 WEN,,,,Registration,1094,839,255
Chelan,63 WEN,,,,Registration,761,579,182
Chelan,64 WEN,,,,Registration,672,465,207
Chelan,65 WEN,,,,Registration,683,450,233
Chelan,66 WEN,,,,Registration,935,562,373
Chelan,67 WEN,,,,Registration,895,528,367
Chelan,68 LEV,,,,Registration,677,494,183
Chelan,69 LEV,,,,Registration,762,525,237
Chelan,70,,,,Registration,527,376,151
Chelan,71,,,,Registration,901,603,298
Chelan,72,,,,Registration,895,644,251
Chelan,73,,,,Registration,804,655,149
Chelan,74,,,,Registration,870,704,166
Chelan,75,,,,Registration,415,327,88
Chelan,76,,,,Registration,605,370,235
Chelan,77,,,,Registration,734,548,186
Chelan,78,,,,Registration,59,58,1
Chelan,79,,,,Registration,223,196,27
Chelan,80,,,,Registration,213,172,41
Chelan,,,,,Registration,37395,27137,10258
Chelan,1,,,,Ballots,42,39,3
Chelan,2,,,,Ballots,56,56,0
Chelan,3,,,,Ballots,103,92,11
Chelan,4,,,,Ballots,495,431,64
Chelan,5,,,,Ballots,353,301,52
Chelan,6,,,,Ballots,449,373,76
Chelan,7,,,,Ballots,9,7,2
Chelan,8,,,,Ballots,276,226,50
Chelan,9,,,,Ballots,81,68,13
Chelan,10,,,,Ballots,584,472,112
Chelan,11,,,,Ballots,22,16,6
Chelan,12,,,,Ballots,76,70,6
Chelan,13,,,,Ballots,12,12,0
Chelan,14,,,,Ballots,378,301,77
Chelan,15,,,,Ballots,396,313,83
Chelan,16,,,,Ballots,298,244,54
Chelan,17,,,,Ballots,50,45,5
Chelan,18,,,,Ballots,87,60,27
Chelan,19,,,,Ballots,620,551,69
Chelan,20,,,,Ballots,67,57,10
Chelan,21,,,,Ballots,72,70,2
