Candidate,Party,Race,JurisdictionName,County,Votes
Yes,3313,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Adams,71.8811
No,1296,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Adams,28.1189
Yes,2189,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Adams,47.1767
No,2451,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Adams,52.8233
Approved,1329,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Adams,28.1389
Rejected,3394,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Adams,71.8611
Yes,1860,Statewide Initiative Measure No. 502 Concerns marijuana,,Adams,39.3817
No,2863,Statewide Initiative Measure No. 502 Concerns marijuana,,Adams,60.6183
Approved,2739,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Adams,63.1543
Rejected,1598,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Adams,36.8457
Approved,1666,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Adams,37.254
Rejected,2806,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Adams,62.746
Repealed,3070,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Adams,71.9812
Maintained,1195,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Adams,28.0188
Repealed,2864,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Adams,66.8222
Maintained,1422,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Adams,33.1778
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Adams,1540
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Adams,3171
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Adams,40
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Adams,15
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Adams,20
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Adams,1
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Adams,0
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Adams,6
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Adams,1859
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Adams,2872
Doc Hastings,(Prefers Republican Party),Congressional District 4 U.S. Representative,Congressional District 4,Adams,3473
Mary Baechler,(Prefers Democratic Party),Congressional District 4 U.S. Representative,Congressional District 4,Adams,1115
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Adams,1408
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Adams,3320
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Adams,1598
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Adams,2919
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Adams,3235
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Adams,1262
