firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Adams,1640
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Asotin,3051
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Benton,22151
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Chelan,11619
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Clallam,16010
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Clark,53258
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Columbia,768
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Cowlitz,13963
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Douglas,5476
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Ferry,1092
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Franklin,5831
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Garfield,411
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Grant,9334
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Grays Harbor,11483
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Island,14959
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Jefferson,7256
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,King,299927
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Kitsap,42685
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Kittitas,5272
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Klickitat,2614
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Lewis,14073
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Lincoln,1807
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Mason,10702
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Okanogan,5541
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Pacific,4315
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Pend Oreille,2072
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Pierce,112147
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,San Juan,3329
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Skagit,20141
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Skamania,1396
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Snohomish,104017
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Spokane,64797
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Stevens,7487
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Thurston,39402
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Wahkiakum,732
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Walla Walla,6814
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Whatcom,32341
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Whitman,4110
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Yakima,30734
,Yes,Yes,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",state,Washington,994757
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Adams,2003
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Asotin,3259
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Benton,22377
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Chelan,7841
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Clallam,11827
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Clark,41104
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Columbia,891
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Cowlitz,13624
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Douglas,4367
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Ferry,1399
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Franklin,5572
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Garfield,645
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Grant,9427
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Grays Harbor,9428
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Island,10392
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Jefferson,6440
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,King,219705
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Kitsap,35743
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Kittitas,4650
,No,No,,,Initiative to the People,900,"Initiative Measure No. 900 concerns performance audits of governmental entities. This measure would direct the State Auditor to conduct performance audits of state and local governments, and dedicate 0.16% of the state's portion of sales and use tax collections to fund these audits.",county,Klickitat,3019
