county,office,district,party,candidate,votes
Adams,WASHTUCNA PARK AND RECREATION 2 Proposition 1: Maintenance and Operation Levy,,,APPROVED \ APROBADA,69
Adams,WASHTUCNA PARK AND RECREATION 2 Proposition 1: Maintenance and Operation Levy,,,REJECTED \ RECHAZADA,30
Adams,LIND PARK AND RECREATION 3 Proposition 1: Maintenance and Operation Levy,,,APPROVED \ APROBADA,153
Adams,LIND PARK AND RECREATION 3 Proposition 1: Maintenance and Operation Levy,,,REJECTED \ RECHAZADA,64
Adams,RITZVILLE PARK AND RECREATION 4 Proposition 1: Maintenance and Operation Levy,,,APPROVED \ APROBADA,429
Adams,RITZVILLE PARK AND RECREATION 4 Proposition 1: Maintenance and Operation Levy,,,REJECTED \ RECHAZADA,230
Adams,CEMETERY DISTRICT 1 Proposition 1: Maintenance and Operation Levy,,,APPROVED \ APROBADA,77
Adams,CEMETERY DISTRICT 1 Proposition 1: Maintenance and Operation Levy,,,REJECTED \ RECHAZADA,22
Benton,City of Benton City Council Position 3,,,JOHN A. DERDERIAN,134
Benton,City of Benton City Council Position 3,,,MANNY QUINTERO,32
Benton,City of Benton City Council Position 3,,,ASHLEY MORRISON,152
Benton,City of Benton City Council Position 3,,,WRITE-IN,5
Benton,City Of Kennewick Council Position 5 At Large,,,CHUCK TORELLI,3645
Benton,City Of Kennewick Council Position 5 At Large,,,CHARISS WARNER,2733
Benton,City Of Kennewick Council Position 5 At Large,,,BRANDON POCASANGRE,972
Benton,City Of Kennewick Council Position 5 At Large,,,WRITE-IN,21
Benton,City Of Kennewick Council Position 6 At Large,,,BRAD BEAUCHAMP,2999
Benton,City Of Kennewick Council Position 6 At Large,,,UBY CREEK,1336
Benton,City Of Kennewick Council Position 6 At Large,,,BRIAN GRIFFIN,934
Benton,City Of Kennewick Council Position 6 At Large,,,DAVID SPAULDING,1051
Benton,City Of Kennewick Council Position 6 At Large,,,ED PACHECO,1452
Benton,City Of Kennewick Council Position 6 At Large,,,WRITE-IN,21
Benton,City Of Kennewick Council Position 7 At Large,,,LINDY VERHEI,916
Benton,City Of Kennewick Council Position 7 At Large,,,RUSSEL DEL GESSO,1669
Benton,City Of Kennewick Council Position 7 At Large,,,JAMES (JIM) MILLBAUER,2897
Benton,City Of Kennewick Council Position 7 At Large,,,RADONA (LIZ) DEVEREAUX,943
Benton,City Of Kennewick Council Position 7 At Large,,,STEVE YOUNG,1236
Benton,City Of Kennewick Council Position 7 At Large,,,WRITE-IN,29
Benton,City Of Richland Council Position 1,,,KALEN FINN,1995
Benton,City Of Richland Council Position 1,,,LILLIAN (RANDY) SLOVIC,2029
Benton,City Of Richland Council Position 1,,,WENDI WARNER,1841
Benton,City Of Richland Council Position 1,,,BOB THOMPSON,2666
Benton,City Of Richland Council Position 1,,,WRITE-IN,45
Benton,City Of Richland Council Position 2,,,BRAD ANDERSON,3767
Benton,City Of Richland Council Position 2,,,LARRY STANLEY,1332
Benton,City Of Richland Council Position 2,,,SHIR REGEV,3478
Benton,City Of Richland Council Position 2,,,WRITE-IN,36
Benton,City Of Richland Council Position 5,,,PHILLIP R. LEMLEY,3557
Benton,City Of Richland Council Position 5,,,KURT H MAIER,1426
Benton,City Of Richland Council Position 5,,,LISA THOMAS,3124
Benton,City Of Richland Council Position 5,,,MIKE LUZZO,598
Benton,City Of Richland Council Position 5,,,WRITE-IN,28
Benton,Kennewick School District 17 Director No 3,,,RON MABRY,4617
Benton,Kennewick School District 17 Director No 3,,,TONY M ASHTON,1852
Benton,Kennewick School District 17 Director No 3,,,WENDE CARLISLE,2594
Benton,Kennewick School District 17 Director No 3,,,WRITE-IN,38
Benton,Kennewick School District 17 Director No 4,,,JAMES LANGFORD,2492
Benton,Kennewick School District 17 Director No 4,,,DAVID CHUMNEY,2034
Benton,Kennewick School District 17 Director No 4,,,MICHAEL CONNORS,4058
Benton,Kennewick School District 17 Director No 4,,,WRITE-IN,80
Benton,Kennewick School District 17 Director No 5,,,PATRICK (PAT) MASTALER,2471
Benton,Kennewick School District 17 Director No 5,,,DIANE SUNDVIK,4996
Benton,Kennewick School District 17 Director No 5,,,FRANK COWING,1389
Benton,Kennewick School District 17 Director No 5,,,WRITE-IN,61
Benton,Richland School District 400 Director No 4,,,JAY CLOUGH,3397
Benton,Richland School District 400 Director No 4,,,KARI WILLIAMS,3993
Benton,Richland School District 400 Director No 4,,,LLOYD BECKER,530
Benton,Richland School District 400 Director No 4,,,RON HIGGINS,2730
Benton,Richland School District 400 Director No 4,,,WRITE-IN,46
Benton,Richland School District 400 Director No 5,,,JILL M. OLDSON,4034
Benton,Richland School District 400 Director No 5,,,RAMA DEVAGUPTA,3553
Benton,Richland School District 400 Director No 5,,,LORI WASNER,2903
Benton,Richland School District 400 Director No 5,,,WRITE-IN,63
Benton,Fire District #1 Proposition No. 1: Multiple Year Levy Lid Lift,,,APPROVED,1385
Benton,Fire District #1 Proposition No. 1: Multiple Year Levy Lid Lift,,,REJECTED,1049
Benton,"Fire District #1 Proposition No. 2: Unlimited Tax General Obligation Bonds - $3,000,000",,,APPROVED,1281
Benton,"Fire District #1 Proposition No. 2: Unlimited Tax General Obligation Bonds - $3,000,000",,,REJECTED,1063
Benton,Fire District #1 Commissioner Position 3,,,SCOTT CARPENTER,510
Benton,Fire District #1 Commissioner Position 3,,,DAVID JENKINS,867
Benton,Fire District #1 Commissioner Position 3,,,JOHN CHRISTENSON,459
Benton,Fire District #1 Commissioner Position 3,,,WRITE-IN,32
Benton,"West Benton Regional Fire Authority Proposition No. 1: Proposition Tax Levy for Fire Protection, Prevention and Emergency Medical Services",,,APPROVED,946
Benton,"West Benton Regional Fire Authority Proposition No. 1: Proposition Tax Levy for Fire Protection, Prevention and Emergency Medical Services",,,REJECTED,871
Chelan,CHELAN COUNTY Renewal of Enhanced 911 : Emergency Communication Systems and Facilities Sales and Use Tax,,,YES,14461
Chelan,CHELAN COUNTY Renewal of Enhanced 911 : Emergency Communication Systems and Facilities Sales and Use Tax,,,NO,2550
