county,precinct_code,precinct,office,district,party,candidate,votes
King,93,BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,226
King,93,BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,649
King,93,BAKER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,84
King,236,BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,170
King,236,BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,449
King,236,BILOXI,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,67
King,278,BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,103
King,278,BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,277
King,278,BURTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,50
King,292,CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,176
King,292,CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,454
King,292,CARPENTER,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,51
King,310,CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,177
King,310,CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,426
King,310,CHAUTAUQUA,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,55
King,330,COLVOS,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,123
King,330,COLVOS,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,264
King,330,COLVOS,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,25
King,342,COVE,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,195
King,342,COVE,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,556
King,342,COVE,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,69
King,3339,CROSS,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,186
King,3339,CROSS,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,527
King,3339,CROSS,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,72
King,370,DILWORTH,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,186
King,370,DILWORTH,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,462
King,370,DILWORTH,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,67
King,371,DOCKTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,299
King,371,DOCKTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Registered Voters,751
King,371,DOCKTON,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Rejected,104
King,374,DOLPHIN,"Vashon Island School District No. 402 Proposition No. 1 General Obligation Bonds - $9,997,500",,,Approved,124
