firstname,lastname,ballotname,partyname,partycode,officename,officeposition,measuretext,reporting_level,jurisdiction,votes
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Adams,574
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Asotin,635
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Benton,4679
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Chelan,2193
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Clallam,4078
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Clark,8850
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Columbia,327
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Cowlitz,3996
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Douglas,1173
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Ferry,496
,No,No,,,House Joint Resolution,4206,The legislature has proposed a constitutional amendment on filling vacancies in legislative and partisan county elective offices.This amendment would permit newly-elected officers to take office early if the office falls vacant after the general election and the newly-elected officer is of the same political party as the former officer.,county,Franklin,1129
